AgencyID,AgencyName,AgencyType,PhysicalCity,PhysicalZIPCode,Countyname,JurisdictionName,ReportingYear,ReportingType,AgencyStatus,ReportStatus,TotalNumberOfFacilities,DisposalTons,NumberOfEmployees,EmployeeDisposalRate,EmployeeDisposalRateTarget,NonEmployeePopulationType,NonEmployeeDisposalRate,NonEmployeeDisposalRateTarget,Comments
53,9th District Agricultural Association,Fair,Eureka,95503,Humboldt,Eureka,2011,Full,Active,Submitted,1,68500,6,62557.08,838.7,Visitors,0.75,0,
227,Calipatria State Prison,Correctional,Calipatria,92233,Imperial,Calipatria,2011,Full,Active,Submitted,1,1587,1266,6.87,11.3,Inmates,1.99,2.4,
22,27th District Agricultural Association,Fair,Anderson,96007,Shasta,Anderson,2012,Full,Active,Submitted,1,27,4,36.99,187.3,Visitors,0,0,
351,Laney College,Community College,Oakland,94607,Alameda,Oakland,2013,Full,Active,Reporting requirement temporarily suspended ,,,,,5.1,Students,,0.2,
1,1-A District Agricultural Association,Fair,Daly City,94014,San Mateo,San Francisco,2011,Full,Active,Submitted,,246.7,11,122.89,4.5,Visitors,0,0,
1,1-A District Agricultural Association,Fair,Daly City,94014,San Mateo,San Francisco,2012,Full,Active,Submitted,,213.56,9,130.02000000000001,4.5,Visitors,0.01,0,
1,1-A District Agricultural Association,Fair,Daly City,94014,San Mateo,San Francisco,2013,Full,Active,Submitted,,213.56,9,130.02000000000001,4.5,Visitors,0.01,0,
1,1-A District Agricultural Association,Fair,Daly City,94014,San Mateo,San Francisco,2014,Full,Active,Not Submitted,,,,,4.5,Visitors,,0,
4,12th District Agricultural Association,Fair,Ukiah,95482,Mendocino,Ukiah,2011,Full,Active,Submitted,1,57.09,6,52.14,117.2,Visitors,0,0,
4,12th District Agricultural Association,Fair,Ukiah,95482,Mendocino,Ukiah,2012,Full,Active,Submitted,1,56.39,6,51.5,117.2,Visitors,0,0,
4,12th District Agricultural Association,Fair,Ukiah,95482,Mendocino,Ukiah,2013,Full,Active,Submitted,1,53.63,6,48.98,117.2,Visitors,0,0,
